Contrato;AberturaDemanda;DocumentoSolicitacao;NumDocumento;PropostaComercial;DataPropostaComercial;PropostaRecebida;NumSolicitacao;Demanda;idTipoHora;TipoHora; QtdHoras ;PrecoHora;ValorTotal;AutorizadoExecucao;LocalAutorizacao;DataEntrega;HomologacaoSEI;Faturado;Agilis;ProcessoFaturamento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Automação da carga de dados no CKAN ;1;Concepção;4,92; 248,00 ; 1.220,16 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Automação da carga de dados no CKAN ;2;Elaboração;147,6; 184,00 ; 27.158,40 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Automação da carga de dados no CKAN ;3;Construção - Codificação;221,4; 94,00 ; 20.811,60 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Automação da carga de dados no CKAN ;4;Construção - Teste;44,28; 94,00 ; 4.162,32 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Automação da carga de dados no CKAN ;5;Transição;24,6; 184,00 ; 4.526,40 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Automação da carga de dados no CKAN ;6;Gerenciamento de Projeto;39,36; 246,00 ; 9.682,56 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Leiaute da planilha de remuneração ;1;Concepção;0,5; 248,00 ; 124,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Leiaute da planilha de remuneração ;2;Elaboração;15; 184,00 ; 2.760,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Leiaute da planilha de remuneração ;3;Construção - Codificação;22; 94,00 ; 2.068,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Leiaute da planilha de remuneração ;4;Construção - Teste;4,5; 94,00 ; 423,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Leiaute da planilha de remuneração ;5;Transição;2,5; 184,00 ; 460,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Leiaute da planilha de remuneração ;6;Gerenciamento de Projeto;4; 246,00 ; 984,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Memória de cálculo valor pago ;1;Concepção;0,65; 248,00 ; 161,20 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Memória de cálculo valor pago ;2;Elaboração;19,5; 184,00 ; 3.588,00 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Memória de cálculo valor pago ;3;Construção - Codificação;18; 94,00 ; 1.692,00 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Memória de cálculo valor pago ;4;Construção - Teste;2; 94,00 ; 188,00 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Memória de cálculo valor pago ;5;Transição;3,25; 184,00 ; 598,00 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
